open,high,low,close,volume,sma,ema,macd,macd_signal,rsi,stoch_k,stoch_d,bb_upper,bb_middle,bb_lower,tenkan_sen,kijun_sen,senkou_span_a,senkou_span_b,stoch_rsi_k,stoch_rsi_d,volume_ema,volume_sma,volume_bb_upper,volume_bb_middle,volume_bb_lower
214.0,215.0,213.0,214.5,18225416,219.21428571428572,218.27121091275413,-3.840881376847989,-3.182031834853023,38.87272494426675,21.428571428571427,23.484848484848484,235.94291436038048,221.975,208.0070856396195,215.25,221.0,227.875,239.5,32.76885933456034,29.53731230433542,30978596.51397787,36450483.85714286,54542519.264568746,33618254.75,12693990.23543125
217.5,217.5,215.0,217.0,29033762,218.21428571428572,218.1017161243869,-3.6027101990389667,-3.266167507690212,43.29365395217496,38.888888888888886,29.62962962962963,234.92559983197242,221.325,207.72440016802756,214.5,221.0,227.125,239.0,46.60983045587118,36.216773726218484,30719285.245447487,35091489.78571428,54468730.32506545,33822029.55,13175328.774934545
219.5,223.0,218.5,221.5,38734793,217.96428571428572,218.55482064113534,-3.016077963444559,-3.2161495988410813,50.26614291317968,63.888888888888886,41.4021164021164,234.38732396421,221.05,207.71267603579003,216.5,221.0,227.125,239.0,66.42630491184,48.60166490075718,31788019.612721156,33794716.14285714,54748658.78953892,34581326.65,14413994.51046108
223.0,224.0,222.0,222.0,20118957,217.67857142857142,219.01417788898397,-2.4822085143213712,-3.0693613819371395,50.98726252183335,66.66666666666667,56.48148148148149,233.99333931773148,220.85,207.7066606822685,217.0,221.0,227.125,238.0,88.97874960817262,67.33829499196126,30232144.59769167,32324020.14285714,54893107.5706238,34502427.85,14111748.1293762
220.0,220.0,218.0,220.0,19854690,217.21428571428572,219.14562083711945,-2.1951916124234856,-2.894527428034409,47.98983237678171,57.142857142857146,62.56613756613757,232.97231712512496,220.4,207.82768287487505,218.0,221.0,226.625,237.75,94.76063815124034,83.38856422375098,28848483.984666117,31510601.07142857,55343898.118404694,34020099.35,12696300.58159531
218.0,222.0,218.0,220.5,23666051,216.71428571428572,219.32620472550354,-1.9054183518205718,-2.6967056127916416,48.80019678627493,75.0,66.26984126984128,231.15393361451453,219.825,208.49606638548545,218.5,221.0,226.25,237.5,90.9377538066189,91.5590471886773,28157492.920043968,30088075.5,55471546.442107305,33756153.4,12040760.357892688
222.5,224.5,222.5,224.5,29716311,217.17857142857142,220.01604409543643,-1.3375855310995348,-2.42488159645322,54.85962861306575,100.0,77.3809523809524,230.83912093737055,219.725,208.61087906262944,218.75,221.0,226.25,237.5,90.9377538066189,92.21204858815939,28365335.330704775,28994582.64285714,55362050.58815047,33571566.9,11781083.211849526
224.5,225.0,223.5,223.5,15819254,217.82142857142858,220.48057154937825,-0.9572312068183919,-2.1313515185262544,53.16560649470602,90.0,88.33333333333333,229.30833425089773,219.35,209.39166574910226,219.0,221.0,226.625,237.25,93.715837641258,91.86378175149859,26692524.486610807,27378361.785714287,54005844.17137819,31959545.65,9913247.12862181
222.5,223.5,221.0,221.5,21548436,218.42857142857142,220.61649534279448,-0.8078683464064511,-1.8666548841022936,49.85012116525874,76.66666666666667,88.8888888888889,228.83378383975588,219.175,209.51621616024414,219.0,221.0,226.75,235.5,90.26031020528286,91.63796721771992,26006646.02172937,26068363.35714286,49293982.42722075,30192486.25,11090990.072779257
223.0,224.0,222.0,223.0,39898658,219.21428571428572,220.93429596375523,-0.5619815657827871,-1.6057202204383925,52.254984091162186,84.61538461538461,83.76068376068376,228.32398126848045,219.025,209.72601873151956,220.0,221.0,226.75,235.5,85.35265939119508,89.77626907924531,27858914.285498787,26208211.785714287,49162813.041084506,30151984.1,11141155.158915497
225.5,227.0,224.5,224.5,39661216,219.78571428571428,221.40972316858787,-0.24327275970117057,-1.3332307282909481,54.59956454911446,82.14285714285714,81.14163614163614,227.92368411432722,218.925,209.9263158856728,222.5,221.0,226.75,235.5,87.32392673229192,87.64563210958995,29432554.51409895,26590178.64285714,50052448.18014537,30572917.05,11093385.919854637
235.0,237.5,233.0,237.5,97969023,221.46428571428572,223.55509341277616,1.046237248023175,-0.8573371330281234,68.8681023254843,100.0,88.91941391941391,231.1331842720099,219.425,207.7168157279901,227.75,223.75,227.75,234.75,94.60233851288848,89.09297487879184,38570750.31221909,31270148.714285713,68914618.48343222,33292297.75,-2330022.9834322184
